City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind speed,
729,souillac,0,MU,1520587800,71,45.6,-0.6,55.4,14.99,
738,beringovskiy,24,RU,1520589066,100,63.05,179.32,-0.42,23.85,
739,santiago del estero,0,AR,1520589058,66,-27.8,-64.26,71.86,8.86,
742,sokoto,0,NG,1520589230,24,13.06,5.24,93.55,6.73,
744,razole,0,IN,1520589076,94,16.48,81.84,82.84,8.63,
746,constitucion,0,MX,1520589150,62,23.99,-104.67,48.82,4.72,
753,caxias,75,BR,1520586000,94,-4.87,-43.35,77,2.24,
756,qasigiannguit,20,GL,1520585400,76,68.82,-51.19,-9.41,9.17,
758,sri aman,40,MY,1520586000,79,1.24,111.46,86,10.29,
763,fort nelson,5,CA,1520586000,84,58.81,-122.69,5,4.7,
765,sabang,92,ID,1520589158,100,13.72,123.58,77.08,8.97,
766,hirara,75,JP,1520586000,67,24.8,125.28,60.8,11.41,
771,snezhnogorsk,75,RU,1520586000,72,69.19,33.23,14,6.71,
772,chazuta,80,PE,1520589208,100,-6.57,-76.13,71.63,2.37,
778,caceres,12,BR,1520589025,96,5.53,-74.53,63.89,1.25,
780,praia da vitoria,40,PT,1520586000,71,38.73,-27.07,55.4,39.62,
781,quelimane,0,MZ,1520589205,87,-17.88,36.89,89.18,7.63,
782,mizan teferi,68,ET,1520589212,31,6.99,35.58,85.58,2.71,
784,tateyama,75,JP,1520586000,86,36.66,137.31,39.2,9.17,
785,booue,80,GA,1520589153,82,-0.09,11.94,79.33,2.93,
788,kirillov,20,RU,1520589066,88,59.86,38.38,16.15,7.4,
790,manado,20,ID,1520587800,78,1.49,124.85,82.4,3.36,
793,zyryanka,0,RU,1520589067,52,65.73,150.89,-17.52,3.94,
796,skjervoy,0,NO,1520585400,61,70.03,20.97,12.2,19.46,
802,yulara,75,AU,1520586000,73,-25.24,130.99,73.4,17.22,
808,bangassou,0,CF,1520589231,68,4.74,22.82,86.71,3.15,
817,manaure,64,CO,1520589230,90,11.78,-72.45,79.19,23.29,
821,comodoro rivadavia,0,AR,1520586000,47,-45.87,-67.48,57.2,20.8,
824,turka,24,RU,1520589067,93,49.16,23.03,35.86,10.65,
827,hami,0,CN,1520589181,38,42.84,93.51,64.16,6.4,
829,sitka,8,US,1520589103,72,37.17,-99.65,31.27,2.37,
834,grindavik,0,IS,1520587800,54,63.84,-22.43,28.4,8.05,
836,obidos,75,BR,1520587800,100,39.36,-9.16,59,26.4,
839,shimoda,75,JP,1520584140,76,34.7,138.93,57.2,4.7,
840,port hedland,0,AU,1520586000,30,-20.31,118.58,96.8,12.75,
